"GOTerm.identifier","GOTerm.name","GOTerm.namespace","GOTerm.description"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","biological_process","Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."
"GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process","Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."
"GO:0000123","histone acetyltransferase complex","cellular_component","A protein complex that possesses histone acetyltransferase activity."
"GO:0000124","SAGA complex","cellular_component","A SAGA-type histone acetyltransferase complex that contains Spt8 (in budding yeast) or a homolog thereof; additional polypeptides include Spt group, consisting of Spt7, Spt3, and Spt20/Ada5, which interact with the TATA-binding protein (TBP); the Ada group, consisting of Ada1, Ada2, Ada3, Ada4/Gcn5, and Ada5/Spt20, which is functionally linked to the nucleosomal HAT activity; Tra1, an ATM/PI-3 kinase-related protein that targets DNA-bound activators for recruitment to promoters; the TBP-associated factor (TAF) proteins, consisting of Taf5, Taf6, Taf9, Taf10, and Taf12, which mediate nucleosomal HAT activity and are thought to help recruit the basal transcription machinery; the ubiquitin specifc protease Ubp-8."
"GO:0000126","transcription factor TFIIIB complex","cellular_component","A transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIB contains the TATA-binding protein (TBP) and two Pol III-specific proteins, B'' and BRF."
"GO:0000127","transcription factor TFIIIC complex","cellular_component","A heterotrimeric transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIC contains three conserved subunits that associate with the proximal Pol III promoter element, and additional subunits that associate with sequence elements downstream of the promoter and are more diverged among species. It also functions as a boundary element to partition genome content into distinct domains outside Pol III promoter regions."
"GO:0000139","Golgi membrane","cellular_component","The lipid bilayer surrounding any of the compartments of the Golgi apparatus."
"GO:0000145","exocyst","cellular_component","A protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse. At least eight complex components are conserved between yeast and mammals."
"GO:0000149","SNARE binding","molecular_function","Interacting selectively and non-covalently with a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein."
"GO:0000151","ubiquitin ligase complex","cellular_component","A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."
"GO:0000159","protein phosphatase type 2A complex","cellular_component","A protein complex that has protein serine/threonine phosphatase activity that is polycation-stimulated (PCS), being directly stimulated by protamine, polylysine, or histone H1; it constitutes a subclass of several enzymes activated by different histones and polylysine, and consists of catalytic, scaffolding, and regulatory subunits. The catalytic and scaffolding subunits form the core enzyme, and the holoenzyme also includes the regulatory subunit."
"GO:0000166","nucleotide binding","molecular_function","Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"GO:0000172","ribonuclease MRP complex","cellular_component","A ribonucleoprotein complex that contains an RNA molecule of the snoRNA family, and cleaves the rRNA precursor as part of rRNA transcript processing. It also has other roles: In S. cerevisiae it is involved in cell cycle-regulated degradation of daughter cell-specific mRNAs, while in mammalian cells it also enters the mitochondria and processes RNAs to create RNA primers for DNA replication."
"GO:0000176","nuclear exosome (RNase complex)","cellular_component","A ribonuclease complex that has 3-prime to 5-prime processive and distributive hydrolytic exoribonuclease activity and endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."
"GO:0000178","exosome (RNase complex)","cellular_component","A ribonuclease complex that has 3-prime to 5-prime exoribonuclease activity and possibly endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."
"GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity","molecular_function","Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor."
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","biological_process","The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins."
"GO:0000209","protein polyubiquitination","biological_process","Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."
"GO:0000213","tRNA-intron endonuclease activity","molecular_function","Catalysis of the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron."
"GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain","cellular_component","The V1 domain of a proton-transporting V-type ATPase found in the vacuolar membrane."
"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity","molecular_function","Catalysis of the reaction: N-acetyl-D-glucosaminylphosphatidylinositol + H2O = D-glucosaminylphosphatidylinositol + acetate. This reaction is the second step of the biosynthesis of glycosylphosphatidylinositol (GPI), used to anchor various eukaryotic proteins to the cell-surface membrane."
"GO:0000226","microtubule cytoskeleton organization","biological_process","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."
"GO:0000228","nuclear chromosome","cellular_component","A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."
"GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process","The formation of a tri-snRNP complex containing U4 and U6 (or U4atac and U6atac) snRNAs and U5 snRNAs and associated proteins. This includes reannealing of U4 and U6 (or U4atac and U6atac) snRNAs released from previous rounds of splicing to reform the U4/U6 snRNP (or U4atac/U6atac snRNP) as well as the subsequent association of the U5 snRNP with the U4/U6 snRNP (or U4atac/U6atac snRNP) to form a tri-snRNP that is ready to reassemble into another spliceosome complex."
"GO:0000245","spliceosomal complex assembly","biological_process","The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."
"GO:0000256","allantoin catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of allantoin, (2,5-dioxo-4-imidazolidinyl)urea."
"GO:0000266","mitochondrial fission","biological_process","The division of a mitochondrion within a cell to form two or more separate mitochondrial compartments."
"GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","cellular_component","The catalytic sector of the mitochondrial hydrogen-transporting ATP synthase; it comprises the catalytic core and central stalk, and is peripherally associated with the mitochondrial inner membrane when the entire ATP synthase is assembled."
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","cellular_component","All non-F1 subunits of the mitochondrial hydrogen-transporting ATP synthase, including integral and peripheral mitochondrial inner membrane proteins."
"GO:0000278","mitotic cell cycle","biological_process","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
"GO:0000281","mitotic cytokinesis","biological_process","A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells."
"GO:0000287","magnesium ion binding","molecular_function","Interacting selectively and non-covalently with magnesium (Mg) ions."
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","biological_process","Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length."
"GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA","biological_process","Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length."
"GO:0000338","protein deneddylation","biological_process","The removal of a ubiquitin-like protein of the NEDD8 type from a protein."
"GO:0000339","RNA cap binding","molecular_function","Interacting selectively and non-covalently with a 7-methylguanosine (m7G) group or derivative located at the 5' end of an RNA molecule."
"GO:0000340","RNA 7-methylguanosine cap binding","molecular_function","Interacting selectively and non-covalently with the 7-methylguanosine group added cotranscriptionally to the 5' end of RNA molecules transcribed by polymerase II."
"GO:0000347","THO complex","cellular_component","The THO complex is a nuclear complex that is required for transcription elongation through genes containing tandemly repeated DNA sequences. The THO complex is also part of the TREX (TRanscription EXport) complex that is involved in coupling transcription to export of mRNAs to the cytoplasm. In S. cerevisiae, it is composed of four subunits: Hpr1p, Tho2p, Thp1p, and Mft1p, while the human complex is composed of 7 subunits."
"GO:0000350","generation of catalytic spliceosome for second transesterification step","biological_process","Conformational rearrangement of the spliceosomal complex containing the RNA products from the 1st step of splicing to form the catalytic site for the second step of splicing."
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","biological_process","Any process that modulates the frequency, rate or extent of alternative splicing of nuclear mRNAs."
"GO:0000386","second spliceosomal transesterification activity","molecular_function","Catalysis of the second transesterification reaction of spliceosomal mRNA splicing. Ligation of the two exons occurs via a transesterification reaction where the free 3'-hydroxyl group of the 5' exon is the nucleophile attacking the 3' splice site. Non-expressed sequences are now detached from the exons. In cis splicing, the intron is in a lariat structure."
"GO:0000387","spliceosomal snRNP assembly","biological_process","The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."
"GO:0000398","mRNA splicing, via spliceosome","biological_process","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"GO:0000407","phagophore assembly site","cellular_component","Punctate structures proximal to the endoplasmic reticulum which are the sites where the Atg machinery assembles upon autophagy induction."
"GO:0000408","EKC/KEOPS complex","cellular_component","A protein complex involved in t6A tRNA modification; originally proposed to be involved in transcription as well as promoting telomere uncapping and telomere elongation. For example, in Saccharomyces cerevisiae the complex contains Bud32p, Kae1p, Gon7p, Cgi121p, and Pcc1p."
"GO:0000413","protein peptidyl-prolyl isomerization","biological_process","The modification of a protein by cis-trans isomerization of a proline residue."
"GO:0000422","autophagy of mitochondrion","biological_process","The autophagic process in which mitochondria are delivered to a type of vacuole and degraded in response to changing cellular conditions."
"GO:0000439","transcription factor TFIIH core complex","cellular_component","The 7 subunit core of TFIIH that is a part of either the general transcription factor holo-TFIIH or the nucleotide-excision repair factor 3 complex. In S. cerevisiae/humans the complex is composed of: Ssl2/XPB, Tfb1/p62, Tfb2/p52, Ssl1/p44, Tfb4/p34, Tfb5/p8 and Rad3/XPD."
"GO:0000445","THO complex part of transcription export complex","cellular_component","The THO complex when it is part of the TREX (TRanscription EXport) complex that is involved in coupling transcription to export of mRNAs to the cytoplasm. In S. cerevisiae, it is composed of four subunits: Hpr1, Tho2, Thp1, and Mft1, while the human complex is composed of 7 subunits."
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","biological_process","Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and the Large Subunit (LSU) in that order from 5' to 3' along the primary transcript."
"GO:0000469","cleavage involved in rRNA processing","biological_process","Any phosphodiester bond hydrolysis involved in the conversion of a primary ribosomal RNA (rRNA) transcript into a mature rRNA molecule."
"GO:0000470","maturation of LSU-rRNA","biological_process","Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule."
"GO:0000493","box H/ACA snoRNP assembly","biological_process","The aggregation, arrangement and bonding together of proteins and a box H/ACA snoRNA to form a box H/ACA small nucleolar ribonucleoprotein (snoRNP) complex."
"GO:0000502","proteasome complex","cellular_component","A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
"GO:0000723","telomere maintenance","biological_process","Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences."
"GO:0000724","double-strand break repair via homologous recombination","biological_process","The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."
"GO:0000774","adenyl-nucleotide exchange factor activity","molecular_function","Stimulates the hydrolysis and exchange of adenyl nucleotides by other proteins."
"GO:0000775","chromosome, centromeric region","cellular_component","The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."
"GO:0000776","kinetochore","cellular_component","A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules."
"GO:0000786","nucleosome","cellular_component","A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures."
"GO:0000796","condensin complex","cellular_component","A multisubunit protein complex that plays a central role in chromosome condensation."
"GO:0000808","origin recognition complex","cellular_component","A multisubunit complex that is located at the replication origins of a chromosome."
"GO:0000811","GINS complex","cellular_component","A heterotetrameric protein complex that associates with replication origins, where it is required for the initiation of DNA replication, and with replication forks."
"GO:0000813","ESCRT I complex","cellular_component","An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes."
"GO:0000814","ESCRT II complex","cellular_component","An endosomal sorting complex required for transport and functions downstream of ESCRT I complex. It consists of the class E vacuolar protein sorting (Vps) proteins and is required for the membrane recruitment of ESCRT III complex and binds to ubiquitinated cargoes."
"GO:0000818","nuclear MIS12/MIND complex","cellular_component","A multiprotein kinetochore subcomplex that binds to centromeric chromatin and forms part of the inner kinetochore of a chromosome in the nucleus. It helps to recruit outer kinetochore subunits that will bind to microtubules. Nuclear localization arises in some organisms because the nuclear envelope is not broken down during mitosis. In S. cerevisiae, it consists of at least four proteins: Mtw1p, Nnf1p, Nsl1p, and Dsn1."
"GO:0000829","inositol heptakisphosphate kinase activity","molecular_function","Catalysis of the reaction: ATP + diphospho-1D-myo-inositol-pentakisphosphate = ADP + bis(diphospho)-1D-myo-inositol-tetrakisphosphate. The isomeric configurations of the diphospho-1D-myo-inositol-pentakisphosphate (PP-IP5) and bis(diphospho)-1D-myo-inositol-tetrakisphosphate (bis-PP-IP4) are unknown."
"GO:0000836","Hrd1p ubiquitin ligase complex","cellular_component","A multiprotein complex that recognizes and ubiquitinates proteins with misfolded luminal and membrane domains during ER-associated protein degradation (ERAD). In S. cerevisiae, this complex contains the ubiquitin ligase Hrd1p. In mammals, this complex contains the ubiquitin ligase HRD1 (Synoviolin) or AMFR (gp78)."
"GO:0000900","translation repressor activity, mRNA regulatory element binding","molecular_function","Antagonizes the ribosome-mediated translation of mRNA into a polypeptide via direct binding (through a selective and non-covalent interaction) to nucleic acid."
"GO:0000902","cell morphogenesis","biological_process","The developmental process in which the size or shape of a cell is generated and organized."
"GO:0000915","actomyosin contractile ring assembly","biological_process","The process of assembly of a ring composed of actin, myosin, and associated proteins that will function in cytokinesis."
"GO:0000922","spindle pole","cellular_component","Either of the ends of a spindle, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules."
"GO:0000938","GARP complex","cellular_component","A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles."
"GO:0000956","nuclear-transcribed mRNA catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of nuclear-transcribed mRNAs in eukaryotic cells."
"GO:0000974","Prp19 complex","cellular_component","A protein complex consisting of Prp19 and associated proteins that is involved in the transition from the precatalytic spliceosome to the activated form that catalyzes step 1 of splicing, and which remains associated with the spliceosome through the second catalytic step. It is widely conserved, found in both yeast and mammals, though the exact composition varies. In S. cerevisiae, it contains Prp19p, Ntc20p, Snt309p, Isy1p, Syf2p, Cwc2p, Prp46p, Clf1p, Cef1p, and Syf1p."
"GO:0000977","RNA polymerase II regulatory region sequence-specific DNA binding","molecular_function","Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II."
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","molecular_function","Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II."
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","molecular_function","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."
"GO:0000995","RNA polymerase III general transcription initiation factor activity","molecular_function","An activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase III. Factors required for RNA polymerase III transcription initiation include TFIIIA, TFIIIB and TFIIIC."
"GO:0001004","RNA polymerase III transcription regulator recruiting activity","molecular_function","Initiating the assembly of the RNA polymerase III pre-initiation complex by binding to a control sequence in the intragenic region. This allows to recruit TFIIIB to the DNA at a site centered approximately 26 base pairs upstream of the start site of transcription. For tRNA genes, TFIIIC first associates with DNA, and then recruits TFIIIB. For 5S rRNA genes, TFIIIA binds to DNA first, followed by TFIIIC, which then recruits TFIIIB."
"GO:0001085","RNA polymerase II transcription factor binding","molecular_function","Interacting selectively and non-covalently with an RNA polymerase II transcription factor, any protein required to initiate or regulate transcription by RNA polymerase II."
"GO:0001103","RNA polymerase II repressing transcription factor binding","molecular_function","Interacting selectively and non-covalently with an RNA polymerase II transcription repressing factor, a protein involved in negative regulation of transcription."
"GO:0001164","RNA polymerase I core promoter sequence-specific DNA binding","molecular_function","Interacting selectively and non-covalently with the regulatory region composed of the transcription start site and binding sites for transcription factors of the RNA polymerase I transcription machinery. This site is often referred to as the CORE element. In mammalian cells, the CORE element functions in conjunction with the Upstream Control Element (UCE), while in fungi, protozoa, and plants, the CORE element functions without a UCE."
"GO:0001188","RNA polymerase I preinitiation complex assembly","biological_process","The aggregation, arrangement and bonding together of proteins on promoter DNA to form the transcriptional preinitiation complex (PIC), the formation of which is a prerequisite for transcription from an RNA polymerase I promoter."
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","molecular_function","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to repress or decrease transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","molecular_function","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."
"GO:0001401","SAM complex","cellular_component","A large complex of the mitochondrial outer membrane that mediates sorting of some imported proteins to the outer membrane and their assembly in the membrane; functions after import of incoming proteins by the mitochondrial outer membrane translocase complex."
"GO:0001510","RNA methylation","biological_process","Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor."
"GO:0001518","voltage-gated sodium channel complex","cellular_component","A sodium channel in a cell membrane whose opening is governed by the membrane potential."
"GO:0001522","pseudouridine synthesis","biological_process","The intramolecular conversion of uridine to pseudouridine within an RNA molecule. This posttranscriptional base modification occurs in tRNA, rRNA, and snRNAs."
"GO:0001525","angiogenesis","biological_process","Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."
"GO:0001534","radial spoke","cellular_component","Protein complex that links the outer microtubule doublet of the ciliary or flagellum axoneme with the sheath that surrounds the central pair of microtubules. Composed of a stalk that attaches to each doublet microtubule and a globular structure (spoke head) that projects toward the central pair of microtubules."
"GO:0001540","amyloid-beta binding","molecular_function","Interacting selectively and non-covalently with amyloid-beta peptide/protein and/or its precursor."
"GO:0001558","regulation of cell growth","biological_process","Any process that modulates the frequency, rate, extent or direction of cell growth."
"GO:0001578","microtubule bundle formation","biological_process","A process that results in a parallel arrangement of microtubules."
"GO:0001664","G protein-coupled receptor binding","molecular_function","Interacting selectively and non-covalently with a G protein-coupled receptor."
"GO:0001671","ATPase activator activity","molecular_function","Binds to and increases the ATP hydrolysis activity of an ATPase."
"GO:0001678","cellular glucose homeostasis","biological_process","A cellular homeostatic process involved in the maintenance of an internal steady state of glucose within a cell or between a cell and its external environment."
"GO:0001682","tRNA 5'-leader removal","biological_process","Generation of the mature 5'-end of the tRNA, usually via an endonucleolytic cleavage by RNase P."
"GO:0001709","cell fate determination","biological_process","A process involved in cell fate commitment. Once determination has taken place, a cell becomes committed to differentiate down a particular pathway regardless of its environment."
"GO:0001726","ruffle","cellular_component","Projection at the leading edge of a crawling cell; the protrusions are supported by a microfilament meshwork."
"GO:0001731","formation of translation preinitiation complex","biological_process","The joining of the small ribosomal subunit, ternary complex, and mRNA."
"GO:0001735","prenylcysteine oxidase activity","molecular_function","Catalysis of the reaction: S-prenyl-L-cysteine + O2 + H2O = a prenal + L-cysteine + H2O2."
"GO:0001736","establishment of planar polarity","biological_process","Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates."
"GO:0001882","nucleoside binding","molecular_function","Interacting selectively and non-covalently with a nucleoside, a compound consisting of a purine or pyrimidine nitrogenous base linked either to ribose or deoxyribose."
"GO:0001919","regulation of receptor recycling","biological_process","Any process that modulates the frequency, rate, or extent of receptor recycling."
"GO:0001944","vasculature development","biological_process","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."
"GO:0002084","protein depalmitoylation","biological_process","The removal of palymitoyl groups from a lipoprotein."
"GO:0002098","tRNA wobble uridine modification","biological_process","The process in which a uridine in position 34 of a tRNA is post-transcriptionally modified."
"GO:0002100","tRNA wobble adenosine to inosine editing","biological_process","The process in which an adenosine in position 34 of a tRNA is post-transcriptionally converted to inosine."
"GO:0002151","G-quadruplex RNA binding","molecular_function","Interacting selectively and non-covalently with G-quadruplex RNA structures, in which groups of four guanines adopt a flat, cyclic hydrogen-bonding arrangement known as a guanine tetrad."
"GO:0002218","activation of innate immune response","biological_process","Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway","biological_process","Any series of molecular signals generated as a consequence of binding to a toll-like receptor where the MyD88 adaptor molecule mediates transduction of the signal. Toll-like receptors directly bind pattern motifs from a variety of microbial sources to initiate innate immune response."
"GO:0002949","tRNA threonylcarbamoyladenosine modification","biological_process","The attachment of a carbonyl group and a threonine to the amino group of the adenine residue immediately 3' of the anticodon, in tRNAs that decode ANN codons (where N is any base)."
"GO:0002953","5'-deoxynucleotidase activity","molecular_function","Catalysis of the reaction:a 2'-deoxyribonucleoside 5'-monophosphate + H20=a 2'-deoxyribonucleoside + phosphate."
"GO:0003341","cilium movement","biological_process","The directed, self-propelled movement of a cilium."
"GO:0003676","nucleic acid binding","molecular_function","Interacting selectively and non-covalently with any nucleic acid."
"GO:0003677","DNA binding","molecular_function","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"GO:0003678","DNA helicase activity","molecular_function","Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction drives the unwinding of the DNA helix."
"GO:0003682","chromatin binding","molecular_function","Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
"GO:0003684","damaged DNA binding","molecular_function","Interacting selectively and non-covalently with damaged DNA."
"GO:0003689","DNA clamp loader activity","molecular_function","Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the opening of the ring structure of the PCNA complex, or any of the related sliding clamp complexes, and their closing around the DNA duplex."
"GO:0003690","double-stranded DNA binding","molecular_function","Interacting selectively and non-covalently with double-stranded DNA."
"GO:0003697","single-stranded DNA binding","molecular_function","Interacting selectively and non-covalently with single-stranded DNA."
"GO:0003700","DNA-binding transcription factor activity","molecular_function","A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"GO:0003712","transcription coregulator activity","molecular_function","A protein or a member of a complex that interacts specifically and non-covalently with a DNA-bound DNA-binding transcription factor to either activate or repress the transcription of specific genes. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second ATP-dependent class modifies the conformation of chromatin. A third class modulates interactions of DNA-binding transcription factor with other transcription coregulators."
